ficha,fechaYHoraInicio
2,2024/07/01 09:00
58,2024/07/01 09:00
59,2024/07/01 09:00
63,2024/07/01 09:00
109,2024/07/01 09:00
119,2024/07/01 09:00
123,2024/07/01 09:00
134,2024/07/01 09:00
146,2024/07/01 09:00
185,2024/07/01 09:00
201,2024/07/01 09:00
202,2024/07/01 09:00
212,2024/07/01 09:00
254,2024/07/01 09:00
303,2024/07/01 09:00
304,2024/07/01 09:00
